ts tx ty tz qx qy qz qw agent map
1403715279.112143 -0.2151859 0.3440811 -0.4299548 0.0279968 -0.6831460 -0.2098471 0.6989220 0 4
1403715278.962143 -0.2095515 0.3519201 -0.4255194 0.0264343 -0.6836182 -0.2088964 0.6988060 0 4
1403715279.012143 -0.2116703 0.3481728 -0.4272339 0.0277670 -0.6835532 -0.2092875 0.6987008 0 4
1403715273.262143 -0.1903358 0.3830270 -0.4088026 0.0097046 -0.6773773 -0.2404756 0.6951527 0 4
1403715282.012143 -0.3456256 0.2934533 -0.4763763 0.0019402 -0.4293603 -0.1373342 0.8926283 0 4
1403715279.712143 -0.2282877 0.3472107 -0.4325505 0.0232322 -0.6822653 -0.2157540 0.6981580 0 4
1403715280.562143 -0.2450976 0.3121013 -0.4455741 0.0218856 -0.6658400 -0.2324817 0.7086116 0 4
1403715280.412143 -0.2372813 0.3197004 -0.4399029 0.0268386 -0.6706457 -0.2460610 0.6992625 0 4
1403715282.162143 -0.3578860 0.2962287 -0.4755806 -0.0003459 -0.3927999 -0.1238904 0.9112405 0 4
1403715283.462143 -0.4701948 0.3497550 -0.4531482 0.0188915 -0.1176857 0.0389257 0.9921079 0 4
1403715281.862143 -0.3325205 0.2908445 -0.4763420 0.0048214 -0.4686609 -0.1510921 0.8703476 0 4
1403715285.712143 -0.5827372 0.3082011 -0.4123029 -0.0249914 0.0361248 0.0708018 0.9965227 0 4
1403715284.812143 -0.5753182 0.3531355 -0.4219466 -0.0075963 -0.0635939 -0.0004055 0.9979469 0 4
1403715282.312143 -0.3705620 0.2997141 -0.4732498 -0.0021347 -0.3577881 -0.1119564 0.9270647 0 4
1403715284.462143 -0.5635021 0.3534010 -0.4388682 -0.0203292 -0.0627235 0.0234643 0.9975480 0 4
1403715283.262143 -0.4728627 0.3297075 -0.4584881 0.0023817 -0.1484456 -0.0140613 0.9888178 0 4
1403715320.612143 -0.1149656 -0.1099749 0.7497116 0.0007630 0.3511036 0.1550879 0.9234031 0 4
1403715282.812143 -0.4265286 0.3141740 -0.4665711 -0.0016149 -0.2418875 -0.0652386 0.9681073 0 4
1403715286.762143 -0.5219675 0.2176062 -0.3812190 -0.0114016 0.0701677 0.0484906 0.9962907 0 4
1403715285.412143 -0.5871876 0.3410318 -0.4051361 -0.0133381 0.0232354 0.0576829 0.9979754 0 4
1403715285.012143 -0.5806991 0.3512824 -0.4115158 0.0058789 -0.0442527 0.0162545 0.9988708 0 4
1403715284.662143 -0.5702698 0.3537480 -0.4295234 -0.0120023 -0.0644028 0.0056662 0.9978358 0 4
1403715285.262143 -0.5857707 0.3474503 -0.4041501 0.0037006 0.0057477 0.0424960 0.9990733 0 4
1403715286.062143 -0.5628160 0.2730951 -0.4130051 -0.0258413 0.0495507 0.0456564 0.9973928 0 4
1403715286.262143 -0.5508531 0.2557454 -0.4085379 -0.0290167 0.0493734 0.0504513 0.9970832 0 4
1403715286.912143 -0.5164526 0.2094459 -0.3708688 -0.0196947 0.0891312 0.0525397 0.9944382 0 4
1403715286.612143 -0.5305391 0.2285051 -0.3912230 -0.0234724 0.0550961 0.0432941 0.9972658 0 4
1403715291.412143 -0.3292135 0.1336499 -0.0944497 -0.0081469 0.3776036 0.1936886 0.9054468 0 4
1403715291.712143 -0.3012664 0.1388654 -0.0749691 -0.0190911 0.4010160 0.2068731 0.8922024 0 4
1403715291.162143 -0.3463916 0.1381505 -0.1193406 -0.0124377 0.3613030 0.1807813 0.9146713 0 4
1403715287.962143 -0.4820293 0.1398828 -0.2911687 -0.0063578 0.1925939 0.1053587 0.9755853 0 4
1403715288.612143 -0.4520132 0.1264207 -0.2693688 -0.0087409 0.2768528 0.1325598 0.9516848 0 4
1403715287.812143 -0.4915414 0.1501621 -0.2997954 -0.0098268 0.1541248 0.0995750 0.9829719 0 4
1403715291.012143 -0.3544451 0.1447511 -0.1355759 -0.0218120 0.3585028 0.1646479 0.9186355 0 4
1403715287.612143 -0.4977126 0.1630895 -0.3157776 -0.0101898 0.1212355 0.0804411 0.9893066 0 4
1403715289.112143 -0.4264998 0.1278143 -0.2691441 -0.0213542 0.2978604 0.1244992 0.9462152 0 4
1403715289.862143 -0.4001354 0.1940262 -0.2348708 -0.0383794 0.3831728 0.1566325 0.9094899 0 4
1403715288.362143 -0.4615597 0.1240431 -0.2773146 -0.0087442 0.2696921 0.1247321 0.9547940 0 4
1403715289.362143 -0.4158321 0.1477276 -0.2629180 -0.0280654 0.3263655 0.1276757 0.9361607 0 4
1403715292.362143 -0.2181822 0.1582619 -0.0371502 -0.0435093 0.3937935 0.1663681 0.9029703 0 4
1403715292.262143 -0.2306684 0.1554200 -0.0451531 -0.0411112 0.4096859 0.1753548 0.8942696 0 4
1403715292.662143 -0.1787435 0.1596342 -0.0097436 -0.0261137 0.3241447 0.1270307 0.9370760 0 4
1403715294.912143 -0.0198721 0.0809479 0.0921548 -0.0074896 -0.1910131 -0.0529661 0.9801288 0 4
1403715293.362143 -0.1201859 0.1034435 0.0428750 -0.0015216 0.1293781 0.0744283 0.9887969 0 4
1403715293.012143 -0.1426336 0.1431407 0.0207333 -0.0143646 0.2213863 0.0890570 0.9710050 0 4
1403715292.012143 -0.2632953 0.1473401 -0.0600414 -0.0375011 0.4233372 0.1844905 0.8861955 0 4
1403715291.862143 -0.2823681 0.1424575 -0.0677387 -0.0283733 0.4140972 0.1960211 0.8884224 0 4
1403715290.412143 -0.3834933 0.1783849 -0.1990636 -0.0453495 0.3574740 0.1553514 0.9197944 0 4
1403715293.762143 -0.0950335 0.0612886 0.0557932 -0.0043134 0.0502462 0.0490860 0.9975206 0 4
1403715293.162143 -0.1337139 0.1258370 0.0310500 -0.0104801 0.1789114 0.0872432 0.9799334 0 4
1403715293.962143 -0.0824137 0.0424078 0.0591004 -0.0090812 0.0133750 0.0358356 0.9992269 0 4
1403715297.162143 0.1134327 0.1597205 0.1292705 -0.0056401 -0.5139285 -0.1646188 0.8418707 0 4
1403715294.362143 -0.0571359 0.0367294 0.0724939 0.0068798 -0.0739315 0.0106662 0.9971825 0 4
1403715295.562143 0.0124401 0.1009245 0.0964125 0.0110273 -0.3348696 -0.0965404 0.9372411 0 4
1403715297.862143 0.1104192 0.1533563 0.2036814 -0.0162647 -0.6375565 -0.2004042 0.7437038 0 4
1403715300.112143 0.0348407 0.1095324 0.2307154 0.0233952 -0.8604043 -0.2843410 0.4222645 0 4
1403715299.662143 0.0794254 0.1067659 0.2616496 0.0059208 -0.7973052 -0.2755242 0.5369877 0 4
1403715296.812143 0.0936550 0.1643504 0.1092873 -0.0023038 -0.4722345 -0.1468713 0.8691480 0 4
1403715301.062143 -0.0399399 0.1029293 0.2166444 0.0503083 -0.8723478 -0.2710381 0.4037533 0 4
1403715299.462143 0.0920053 0.1071649 0.2785828 -0.0019754 -0.7669492 -0.2731332 0.5806749 0 4
1403715300.362143 0.0059750 0.1106113 0.2186095 0.0465470 -0.8753625 -0.2763679 0.3939476 0 4
1403715304.212143 0.2073414 0.1633150 0.2226046 0.0247712 -0.9379956 -0.3055986 0.1617412 0 4
1403715301.312143 -0.0413645 0.0995360 0.2279709 0.0723595 -0.8695581 -0.2674044 0.4088126 0 4
1403715302.762143 0.1095587 0.1158445 0.2934788 0.0207647 -0.8458064 -0.2977165 0.4422050 0 4
1403715301.712143 -0.0131550 0.1043608 0.2529350 0.0339377 -0.8647007 -0.2855742 0.4118111 0 4
1403715303.712143 0.1788700 0.1475221 0.2530591 0.0403592 -0.9131699 -0.3168112 0.2532242 0 4
1403715305.812143 0.2630639 0.1568077 0.2163831 0.0271215 -0.9314563 -0.3249863 0.1613616 0 4
1403715304.862143 0.2272477 0.1978071 0.2238950 0.0369497 -0.9309769 -0.3157931 0.1794199 0 4
1403715303.912143 0.1909970 0.1539943 0.2382592 0.0318296 -0.9295105 -0.3096826 0.1977217 0 4
1403715304.412143 0.2155531 0.1697656 0.2184290 0.0218628 -0.9358062 -0.3131825 0.1603293 0 4
1403715302.462143 0.0695900 0.1141000 0.2948637 0.0496912 -0.8470017 -0.3033691 0.4336890 0 4
1403715300.562143 -0.0115164 0.1091799 0.2113631 0.0378557 -0.8801337 -0.2685071 0.3896608 0 4
1403715303.262143 0.1559908 0.1313872 0.2818314 0.0174266 -0.8646886 -0.3216919 0.3853887 0 4
1403715309.062143 0.2203965 0.0857374 0.3818133 0.0021391 -0.7257548 -0.2446938 0.6429622 0 4
1403715307.562143 0.2255462 0.0416993 0.3075354 0.0427978 -0.8335115 -0.2984226 0.4630019 0 4
1403715306.562143 0.2607000 0.0883754 0.1962776 -0.0016232 -0.9347477 -0.2930868 0.2008590 0 4
1403715306.362143 0.2694910 0.1049341 0.1994518 0.0022662 -0.9339621 -0.3147235 0.1692892 0 4
1403715305.362143 0.2465781 0.1907482 0.2253488 0.0305111 -0.9275180 -0.3256391 0.1809383 0 4
1403715305.162143 0.2384237 0.1955093 0.2254843 0.0347086 -0.9285353 -0.3209448 0.1833353 0 4
1403715305.662143 0.2579277 0.1745491 0.2218990 0.0315572 -0.9302096 -0.3249492 0.1676972 0 4
1403715306.212143 0.2704291 0.1173155 0.2042296 0.0195731 -0.9304279 -0.3295686 0.1590767 0 4
1403715305.512143 0.2522636 0.1861115 0.2249599 0.0310464 -0.9286325 -0.3253289 0.1756103 0 4
1403715306.762143 0.2446000 0.0699223 0.2021330 0.0182446 -0.9280338 -0.2760814 0.2493984 0 4
1403715308.262143 0.2443151 0.0747751 0.3758001 0.0288460 -0.7417591 -0.2748841 0.6110648 0 4
1403715308.612143 0.2407553 0.0945952 0.3877409 0.0164114 -0.7197437 -0.2551042 0.6454622 0 4
1403715307.912143 0.2396498 0.0558418 0.3470569 0.0252095 -0.7890989 -0.2896882 0.5410806 0 4
1403715307.012143 0.2233646 0.0452376 0.2249531 0.0637142 -0.9073579 -0.2639638 0.3208818 0 4
1403715312.812143 0.0232110 -0.0825611 0.6975821 0.0394730 -0.6706407 -0.2177301 0.7080088 0 4
1403715314.112143 0.0041469 -0.1537962 0.7141211 0.0305747 -0.6592457 -0.2242908 0.7170453 0 4
1403715311.962143 0.1100384 -0.0429633 0.6135341 0.0078489 -0.6785831 -0.2259246 0.6988716 0 4
1403715309.512143 0.1840881 0.0700082 0.3896663 0.0221710 -0.7481843 -0.2318247 0.6212777 0 4
1403715311.212143 0.1440850 -0.0046925 0.5352681 0.0022815 -0.6898795 -0.2261339 0.6876951 0 4
1403715314.762143 0.0109774 -0.1547570 0.6865389 0.0192882 -0.5792052 -0.2028861 0.7892950 0 4
1403715312.312143 0.0776913 -0.0621066 0.6490842 0.0177815 -0.6680711 -0.2291918 0.7076977 0 4
1403715315.112143 0.0066607 -0.1462296 0.6594521 0.0232611 -0.5778353 -0.1914086 0.7930498 0 4
1403715314.462143 0.0103733 -0.1590346 0.7050778 0.0286266 -0.6015396 -0.2183087 0.7679011 0 4
1403715313.562143 -0.0052202 -0.1273315 0.7234520 0.0363244 -0.6834980 -0.2281923 0.6924155 0 4
1403715310.812143 0.1393176 0.0114410 0.4986396 0.0262844 -0.6970953 -0.2362453 0.6764284 0 4
1403715310.362143 0.1367764 0.0342549 0.4473644 0.0387929 -0.7453839 -0.2152582 0.6297316 0 4
1403715311.612143 0.1337383 -0.0225760 0.5753223 0.0076501 -0.6812884 -0.2346791 0.6933351 0 4
1403715315.512143 0.0003421 -0.1344552 0.6229770 0.0175986 -0.5616303 -0.1818565 0.8069634 0 4
1403715318.212143 -0.1088859 -0.0082496 0.5214577 -0.0147159 -0.0521607 0.0391397 0.9977629 0 4
1403715319.312143 -0.0748654 0.0171767 0.5696501 -0.0322845 0.1325655 0.0481720 0.9894764 0 4
1403715318.812143 -0.0930514 0.0164407 0.5235297 -0.0539244 0.0373820 0.0321380 0.9973274 0 4
1403715316.062143 -0.0006187 -0.1200359 0.5817761 0.0038452 -0.4829254 -0.1345742 0.8652503 0 4
1403715320.812143 -0.1295499 -0.1306448 0.7692041 0.0108668 0.3920659 0.1970159 0.8985271 0 4
1403715319.512143 -0.0725241 0.0112888 0.5969582 -0.0262000 0.1730867 0.0627924 0.9825537 0 4
1403715319.062143 -0.0828148 0.0206111 0.5414329 -0.0466773 0.0810730 0.0425929 0.9947031 0 4
1403715323.012143 -0.0158308 -0.0726199 0.5756078 -0.0563460 0.5269373 0.2033790 0.8232857 0 4
1403715319.912143 -0.0791664 -0.0201551 0.6519260 -0.0251964 0.2132191 0.0839565 0.9730643 0 4
1403715318.512143 -0.1040872 0.0040680 0.5186843 -0.0194135 -0.0146257 0.0306908 0.9992334 0 4
1403715317.912143 -0.0986700 -0.0183085 0.5283307 -0.0107416 -0.1032770 0.0137934 0.9944990 0 4
1403715322.812143 -0.0444786 -0.0868452 0.5962285 -0.0550932 0.5220817 0.2091621 0.8250132 0 4
1403715321.862143 -0.1348674 -0.1563235 0.7470058 0.0081145 0.4314535 0.2091182 0.8775258 0 4
1403715321.712143 -0.1447054 -0.1567466 0.7619128 -0.0076883 0.4256161 0.2068793 0.8809046 0 4
1403715321.162143 -0.1494064 -0.1510340 0.7842247 -0.0035067 0.4234849 0.2185776 0.8791314 0 4
1403715322.062143 -0.1204939 -0.1519839 0.7197674 0.0087025 0.4456676 0.2181681 0.8681632 0 4
1403715326.512143 0.1194108 -0.0873696 0.4783269 -0.0083706 0.5307706 0.1873145 0.8265143 0 4
1403715320.412143 -0.1014886 -0.0858464 0.7234873 -0.0014396 0.2960528 0.1158586 0.9481179 0 4
1403715320.212143 -0.0909589 -0.0604434 0.6939853 -0.0209458 0.2474274 0.0912735 0.9643704 0 4
1403715323.312143 0.0327067 -0.0638229 0.5546173 -0.0578758 0.5272185 0.1951744 0.8249837 0 4
1403715322.262143 -0.1037812 -0.1428430 0.6829321 -0.0190674 0.4660595 0.2054904 0.8603480 0 4
1403715331.912143 0.1085429 0.0415024 0.1382079 -0.0132350 0.1337051 0.0677520 0.9886139 0 4
1403715324.362143 0.1631446 -0.0973942 0.5746328 0.0181875 0.5274456 0.1915461 0.8275146 0 4
1403715327.612143 0.0830508 -0.0242869 0.3755693 -0.0244793 0.5219663 0.2333736 0.8200541 0 4
