ts tx ty tz qx qy qz qw agent map
1403715894.234058 0.039632965 -0.048247818 -0.025169985 0.006912163 0.164268270 0.050311279 0.985107601 1 0
1403715894.284058 0.036371984 -0.052901745 -0.025764601 0.011977904 0.167704940 0.043060768 0.984823585 1 0
1403715894.334058 0.032046080 -0.059853807 -0.027784279 0.014463885 0.170564741 0.037089918 0.984541953 1 0
1403715894.384058 0.026236054 -0.069418758 -0.028777244 0.015568503 0.173498750 0.032703344 0.984167814 1 0
1403715894.434058 0.020506993 -0.077581488 -0.031182682 0.015829716 0.175013840 0.030947387 0.983952224 1 0
1403715894.484058 0.014534950 -0.086291596 -0.033378877 0.012003858 0.175230175 0.031778682 0.983941317 1 0
1403715894.534058 0.008482804 -0.092498243 -0.034573827 0.008482754 0.173722357 0.035038080 0.984134674 1 0
1403715894.584058 -0.001007807 -0.098813005 -0.032890446 0.004974984 0.174469262 0.037207015 0.983946860 1 0
1403715894.634058 -0.008873384 -0.103418872 -0.033108890 0.002555081 0.173580483 0.039534893 0.984022498 1 0
1403715894.684058 -0.017591581 -0.110078730 -0.032165799 -0.000032712 0.172013223 0.044814117 0.984074771 1 0
1403715894.734058 -0.026008669 -0.113762021 -0.031783465 0.001391550 0.170219198 0.047709495 0.984249651 1 0
1403715894.784058 -0.034489896 -0.122033887 -0.030993037 0.003112813 0.168117270 0.052158456 0.984381258 1 0
1403715894.834058 -0.046865724 -0.127263084 -0.027026637 0.007832682 0.168575689 0.055137247 0.984114230 1 0
1403715894.884058 -0.056441065 -0.134571776 -0.026030991 0.012141639 0.167283550 0.056696393 0.984202445 1 0
1403715894.934058 -0.068150826 -0.142974347 -0.021890674 0.015574763 0.167589784 0.056947730 0.984087408 1 0
1403715894.984058 -0.079159275 -0.151032016 -0.019039722 0.017985554 0.167499974 0.057384465 0.984036207 1 0
1403715895.034058 -0.086778417 -0.159788549 -0.019276716 0.019472567 0.166015491 0.058773641 0.984177589 1 0
1403715895.084058 -0.097772248 -0.166443482 -0.016971661 0.020692274 0.166587457 0.058400754 0.984078228 1 0
1403715895.134058 -0.111765973 -0.177228510 -0.014729296 0.020346925 0.166856065 0.059855975 0.983952403 1 0
1403715895.184058 -0.122004464 -0.184613332 -0.012549662 0.020911723 0.166556120 0.061210416 0.983908117 1 0
1403715895.234058 -0.132215068 -0.195384189 -0.012780975 0.019376788 0.165399551 0.063375197 0.983997583 1 0
1403715895.284058 -0.142916098 -0.202154398 -0.010485625 0.020173382 0.165274352 0.063311845 0.984006703 1 0
1403715895.334058 -0.157800674 -0.212198541 -0.004873030 0.019091122 0.166986793 0.063848488 0.983704388 1 0
1403715895.384058 -0.169813111 -0.217342660 -0.002153557 0.020371290 0.167406633 0.063412599 0.983635545 1 0
1403715895.434058 -0.178194806 -0.224799886 -0.000250079 0.020093914 0.167010412 0.063519716 0.983701706 1 0
1403715895.484058 -0.188309193 -0.232337162 0.000855014 0.019507809 0.166344434 0.064372830 0.983770907 1 0
1403715895.534058 -0.200861320 -0.240376189 0.003327266 0.018822063 0.166977033 0.064312801 0.983681023 1 0
1403715895.584058 -0.211104453 -0.246052012 0.005301286 0.018683085 0.166724324 0.065566316 0.983643770 1 0
1403715895.634058 -0.224716276 -0.254350305 0.007642364 0.018907273 0.167864695 0.064870447 0.983491659 1 0
1403715895.684058 -0.235063687 -0.260214955 0.007505226 0.018997163 0.167340338 0.065019272 0.983569503 1 0
1403715895.734058 -0.245953456 -0.267894298 0.010293006 0.018634357 0.167414665 0.066020109 0.983497083 1 0
1403715895.784058 -0.264401674 -0.278554797 0.014650389 0.018774191 0.167686939 0.065939613 0.983453453 1 0
1403715895.834058 -0.276038319 -0.285099655 0.017062495 0.019342132 0.167912766 0.066292986 0.983380139 1 0
1403715895.884058 -0.285586774 -0.290663421 0.018654501 0.019365788 0.167753488 0.065806560 0.983439505 1 0
